Yamanashi,M,13420 ,15683 ,17261 ,19467 ,21230 ,19956 ,19828 ,22041 ,24167 ,29068 ,30803 ,28180 ,26473 ,26818 ,30291 ,22126 ,16759 ,9974 ,4468 ,1080 ,121 
Yamanashi,F,13022 ,15127 ,16451 ,18195 ,18943 ,17329 ,17873 ,20471 ,22800 ,27809 ,29566 ,27511 ,26313 ,27593 ,32781 ,25944 ,22335 ,17408 ,11023 ,4034 ,748 
Nagano,M,34382 ,41573 ,45576 ,48624 ,48080 ,46819 ,47860 ,54229 ,62278 ,76388 ,76320 ,65619 ,63109 ,64361 ,76513 ,58500 ,44528 ,28266 ,13384 ,3238 ,292 
Nagano,F,32561 ,39306 ,43550 ,46075 ,44069 ,41200 ,44553 ,51429 ,59537 ,73034 ,73017 ,65139 ,63858 ,65489 ,82687 ,68108 ,58790 ,46636 ,30579 ,11786 ,2037 
Gifu,M,33068 ,41085 ,46119 ,48117 ,51599 ,47618 ,47955 ,54569 ,60590 ,74365 ,74386 ,63139 ,59212 ,58772 ,74196 ,55085 ,41125 ,24281 ,9375 ,1906 ,160 
Gifu,F,31644 ,38875 ,43754 ,46393 ,48308 ,43114 ,43970 ,51349 ,57983 ,71092 ,73006 ,64049 ,62056 ,63823 ,82444 ,64876 ,55560 ,41133 ,23043 ,7727 ,1285 
Shizuoka,M,59791 ,74109 ,82325 ,85494 ,89805 ,91052 ,92186 ,106285 ,115858 ,138425 ,140289 ,120369 ,112146 ,112825 ,135694 ,100186 ,75659 ,43709 ,17093 ,3603 ,317 
Shizuoka,F,56741 ,69888 ,78150 ,80622 ,80572 ,77968 ,82699 ,97094 ,108417 ,129618 ,133221 ,116144 ,111503 ,115687 ,147174 ,118359 ,100428 ,73994 ,41611 ,14305 ,2328 
Aichi,M,145942 ,167979 ,179096 ,181838 ,216420 ,227022 ,224592 ,242732 ,257317 ,302951 ,308632 ,250391 ,209935 ,189512 ,229859 ,182064 ,137152 ,74824 ,25556 ,4898 ,390 
Aichi,F,138128 ,159658 ,169996 ,172800 ,197099 ,201016 ,198354 ,219028 ,235659 ,282374 ,288145 ,235465 ,205146 ,194370 ,256436 ,215498 ,179546 ,121658 ,61172 ,19011 ,2958 
Mie,M,30352 ,36213 ,40245 ,41983 ,45811 ,46172 ,45729 ,50703 ,54637 ,66949 ,67385 ,57623 ,53409 ,52388 ,63493 ,48054 ,36054 ,21623 ,8608 ,1709 ,135 
Mie,F,28632 ,34369 ,38298 ,40188 ,42138 ,39112 ,40775 ,46380 ,51407 ,64046 ,65277 ,57543 ,55584 ,55912 ,71434 ,57420 ,48632 ,37097 ,20831 ,6896 ,1087 
Shiga,M,28141 ,33276 ,35785 ,36574 ,39460 ,37758 ,38555 ,43144 ,46722 ,54610 ,53281 ,43779 ,39989 ,39105 ,47443 ,34416 ,24937 ,14480 ,5751 ,1213 ,96 
Shiga,F,26556 ,31390 ,33981 ,34122 ,35430 ,33228 ,35210 ,41069 ,45569 ,53505 ,51799 ,43903 ,41536 ,41022 ,52060 ,39761 ,31782 ,24005 ,13950 ,4771 ,780 
Kyoto,M,42306 ,50382 ,54417 ,59125 ,71313 ,63084 ,60449 ,67685 ,75593 ,94106 ,95704 ,78845 ,69657 ,65545 ,87013 ,67686 ,50560 ,29892 ,11355 ,2349 ,205 
Kyoto,F,40266 ,47770 ,51476 ,56314 ,68067 ,62296 ,60501 ,68536 ,77541 ,96237 ,97585 ,82444 ,73328 ,72409 ,102776 ,85071 ,70450 ,51451 ,28095 ,9526 ,1789 
Osaka,M,158025 ,176222 ,189181 ,199094 ,244219 ,250678 ,240698 ,254943 ,272996 ,337168 ,359721 ,290544 ,237933 ,215870 ,278088 ,220694 ,171331 ,93469 ,30584 ,5504 ,453 
Osaka,F,150315 ,168324 ,180049 ,190862 ,241942 ,253461 ,240805 ,255476 ,276535 ,342319 ,362662 ,295846 ,244726 ,233091 ,324832 ,282550 ,243178 ,163777 ,78945 ,23298 ,3986 
Hyogo,M,96342 ,115396 ,124969 ,129089 ,140331 ,128871 ,133292 ,151343 ,165444 ,203854 ,211208 ,176413 ,157444 ,152360 ,188314 ,142029 ,105745 ,61834 ,23480 ,4863 ,406 
Hyogo,F,91990 ,109724 ,119333 ,122792 ,136420 ,128634 ,132340 ,151879 ,170238 ,210478 ,218132 ,184795 ,169383 ,166081 ,216645 ,178091 ,148195 ,109592 ,59743 ,19100 ,3254 
Nara,M,21634 ,26244 ,29168 ,31757 ,32181 ,27698 ,29121 ,33655 ,37296 ,46778 ,49104 ,42056 ,38776 ,39094 ,50016 ,38610 ,30149 ,17197 ,6196 ,1313 ,118 
Nara,F,20392 ,25200 ,28073 ,30359 ,31899 ,28320 ,29629 ,34853 ,39497 ,49019 ,52029 ,45852 ,42576 ,43968 ,58694 ,48252 ,39523 ,27516 ,15293 ,5191 ,871 
Wakayama,M,14800 ,17911 ,19703 ,20669 ,21234 ,19692 ,20834 ,23908 ,25640 ,32248 ,33187 ,28816 ,28874 ,29448 ,35876 ,26464 ,20113 ,12129 ,5070 ,1053 ,96 
